
========================================

    *** Synset Distribution ***

animal.n.01  pct_total=100.00|pct_this=8.53|total_hits=1404651|this_hits=281991|below_hits=1122660|total_found=9341|this_found=797|below_found=8544|total_not_found=30688|this_not_found=580|below_not_found=30108
  zooplankton.n.01  pct_total=0.05|pct_this=0.05|total_hits=76|this_hits=76|below_hits=0|total_found=5|this_found=5|below_found=0|total_not_found=223|this_not_found=223|below_not_found=0
  young.n.01  pct_total=6.16|pct_this=3.74|total_hits=138235|this_hits=133476|below_hits=4759|total_found=575|this_found=349|below_found=226|total_not_found=1276|this_not_found=107|below_not_found=1169
    young_mammal.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    young_fish.n.01  pct_total=0.01|pct_this=0.01|total_hits=2|this_hits=2|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=236|this_not_found=236|below_not_found=0
    young_bird.n.01  pct_total=0.01|pct_this=0.01|total_hits=2|this_hits=2|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=236|this_not_found=236|below_not_found=0
    spat.n.03  pct_total=0.98|pct_this=0.98|total_hits=1128|this_hits=1128|below_hits=0|total_found=92|this_found=92|below_found=0|total_not_found=136|this_not_found=136|below_not_found=0
    orphan.n.04  pct_total=1.22|pct_this=1.22|total_hits=3362|this_hits=3362|below_hits=0|total_found=114|this_found=114|below_found=0|total_not_found=114|this_not_found=114|below_not_found=0
    hatchling.n.01  pct_total=0.19|pct_this=0.19|total_hits=265|this_hits=265|below_hits=0|total_found=18|this_found=18|below_found=0|total_not_found=210|this_not_found=210|below_not_found=0
  work_animal.n.01  pct_total=0.52|pct_this=0.00|total_hits=538|this_hits=0|below_hits=538|total_found=49|this_found=0|below_found=49|total_not_found=890|this_not_found=237|below_not_found=653
    draft_animal.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    beast_of_burden.n.01  pct_total=0.52|pct_this=0.52|total_hits=538|this_hits=538|below_hits=0|total_found=49|this_found=49|below_found=0|total_not_found=416|this_not_found=416|below_not_found=0
  varmint.n.02  pct_total=0.71|pct_this=0.71|total_hits=1300|this_hits=1300|below_hits=0|total_found=66|this_found=66|below_found=0|total_not_found=390|this_not_found=390|below_not_found=0
  thoroughbred.n.03  pct_total=1.27|pct_this=1.27|total_hits=3686|this_hits=3686|below_hits=0|total_found=119|this_found=119|below_found=0|total_not_found=565|this_not_found=565|below_not_found=0
  survivor.n.03  pct_total=1.96|pct_this=1.96|total_hits=30569|this_hits=30569|below_hits=0|total_found=183|this_found=183|below_found=0|total_not_found=45|this_not_found=45|below_not_found=0
  stunt.n.02  pct_total=1.53|pct_this=1.53|total_hits=6793|this_hits=6793|below_hits=0|total_found=143|this_found=143|below_found=0|total_not_found=85|this_not_found=85|below_not_found=0
  stayer.n.01  pct_total=0.56|pct_this=0.56|total_hits=663|this_hits=663|below_hits=0|total_found=52|this_found=52|below_found=0|total_not_found=176|this_not_found=176|below_not_found=0
  scavenger.n.03  pct_total=0.75|pct_this=0.75|total_hits=2625|this_hits=2625|below_hits=0|total_found=70|this_found=70|below_found=0|total_not_found=388|this_not_found=158|below_not_found=230
    bottom-feeder.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=230|this_not_found=230|below_not_found=0
  range_animal.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
  racer.n.03  pct_total=4.51|pct_this=2.08|total_hits=66782|this_hits=46375|below_hits=20407|total_found=421|this_found=194|below_found=227|total_not_found=491|this_not_found=34|below_not_found=457
